[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, 9T mag, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Field(Oe),Field Status,TempA(K),TempB(K),TempC(K),TempD(K),Ramp1,Ramp2,Setpoint1,Setpoint2,Output1(%),Output2(%),Temp Status
3748816722.372000,GPIB0::1::INSTR,Standby,298.731,299.096,0.000,0.000,0,0,2.000,2.000,0,0,4
3748816789.178000,GPIB0::1::INSTR,Standby,298.645,299.011,0.000,0.000,0,0,2.000,2.000,0,0,4
3748816818.156000,GPIB0::1::INSTR,Standby,298.612,298.977,0.000,0.000,1,1,2.000,2.000,0,0,3
3748816903.221000,GPIB0::1::INSTR,Standby,298.513,298.876,0.000,0.000,1,1,2.000,2.000,0,0,0
3748816938.559000,GPIB0::1::INSTR,Standby,298.475,298.837,0.000,0.000,1,1,2.000,2.000,0,0,0
3748816959.439000,GPIB0::1::INSTR,Standby,298.450,298.815,0.000,0.000,1,1,2.000,2.000,0,0,3
3748816976.536000,GPIB0::1::INSTR,Standby,298.433,298.795,0.000,0.000,1,1,2.000,2.000,0,0,3
3748817006.536000,GPIB0::1::INSTR,Standby,298.401,298.765,0.000,0.000,1,1,2.000,2.000,0,0,0
3748817036.536000,GPIB0::1::INSTR,Standby,298.371,298.731,0.000,0.000,1,1,2.000,2.000,0,0,3
3748817131.096000,GPIB0::1::INSTR,Standby,298.278,298.634,0.000,0.000,1,1,2.000,2.000,0,0,0
3748817161.096000,GPIB0::1::INSTR,Standby,298.252,298.606,0.000,0.000,1,1,2.000,2.000,0,0,3
3748817191.096000,GPIB0::1::INSTR,Standby,298.224,298.574,0.000,0.000,1,1,2.000,2.000,0,0,3
3748817221.096000,GPIB0::1::INSTR,Standby,298.195,298.546,0.000,0.000,1,1,2.000,2.000,0,0,0
3748817251.096000,GPIB0::1::INSTR,Standby,298.170,298.518,0.000,0.000,1,1,2.000,2.000,0,0,0
